"Deaths by age and sex (Annual-Dec)","","","","","",""
" ","83 years",486,492,465,489,444
" ","84 years",534,558,501,519,501
" ","85 years",561,573,564,582,516
" ","86 years",564,585,573,591,594
" ","87 years",627,594,591,648,615
" ","88 years",600,576,618,666,630
" ","89 years",600,612,606,642,612
" ","90 years",621,633,606,651,648
" ","91 years",567,585,585,585,603
" ","92 years",522,519,552,567,546
" ","93 years",471,504,441,495,558
" ","94 years",411,456,399,450,429
" ","95 years",285,348,375,390,363
" ","96 years",267,258,333,348,351
" ","97 years",210,213,162,213,216
" ","98 years",171,180,156,159,165
" ","99 years",114,117,129,120,99
" ","100 years and over",201,231,234,210,258
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
"Neonatal deaths are deaths of children under four weeks of age. Post-neonatal deaths are deaths of children from four weeks up to one year of age. Infant deaths are deaths of children under one year of age."
"Births and deaths data are based on date of registration (not date of occurrence). Data before 1991 includes New Zealand residents and overseas visitors. Data from 1991 includes New Zealand residents only."
"Data has been randomly rounded to protect confidentiality. Individual figures may not add up to totals, and values for the same data may vary in different tables."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"VSD004AA"
""
"Last updated:"
"Less than 1 year: 19 February 2019 10:45am"
"1 year: 19 February 2019 10:45am"
"2 years: 19 February 2019 10:45am"
"3 years: 19 February 2019 10:45am"
"4 years: 19 February 2019 10:45am"
"5 years: 19 February 2019 10:45am"
"6 years: 19 February 2019 10:45am"
"7 years: 19 February 2019 10:45am"
"8 years: 19 February 2019 10:45am"
"9 years: 19 February 2019 10:45am"
"10 years: 19 February 2019 10:45am"
"11 years: 19 February 2019 10:45am"
"12 years: 19 February 2019 10:45am"
"13 years: 19 February 2019 10:45am"
"14 years: 19 February 2019 10:45am"
"15 years: 19 February 2019 10:45am"
"16 years: 19 February 2019 10:45am"
"17 years: 19 February 2019 10:45am"
"18 years: 19 February 2019 10:45am"
"19 years: 19 February 2019 10:45am"
"20 years: 19 February 2019 10:45am"
"21 years: 19 February 2019 10:45am"
"22 years: 19 February 2019 10:45am"
"23 years: 19 February 2019 10:45am"
"24 years: 19 February 2019 10:45am"
"25 years: 19 February 2019 10:45am"
"26 years: 19 February 2019 10:45am"
"27 years: 19 February 2019 10:45am"
"28 years: 19 February 2019 10:45am"
"29 years: 19 February 2019 10:45am"
"30 years: 19 February 2019 10:45am"
"31 years: 19 February 2019 10:45am"
"32 years: 19 February 2019 10:45am"
"33 years: 19 February 2019 10:45am"
"34 years: 19 February 2019 10:45am"
"35 years: 19 February 2019 10:45am"
"36 years: 19 February 2019 10:45am"
"37 years: 19 February 2019 10:45am"
"38 years: 19 February 2019 10:45am"
"39 years: 19 February 2019 10:45am"
"40 years: 19 February 2019 10:45am"
"41 years: 19 February 2019 10:45am"
"42 years: 19 February 2019 10:45am"
"43 years: 19 February 2019 10:45am"
"44 years: 19 February 2019 10:45am"
"45 years: 19 February 2019 10:45am"
"46 years: 19 February 2019 10:45am"
"47 years: 19 February 2019 10:45am"
"48 years: 19 February 2019 10:45am"
"49 years: 19 February 2019 10:45am"
"50 years: 19 February 2019 10:45am"
"51 years: 19 February 2019 10:45am"
"52 years: 19 February 2019 10:45am"
"53 years: 19 February 2019 10:45am"
"54 years: 19 February 2019 10:45am"
"55 years: 19 February 2019 10:45am"
"56 years: 19 February 2019 10:45am"
"57 years: 19 February 2019 10:45am"
"58 years: 19 February 2019 10:45am"
"59 years: 19 February 2019 10:45am"
"60 years: 19 February 2019 10:45am"
"61 years: 19 February 2019 10:45am"
"62 years: 19 February 2019 10:45am"
"63 years: 19 February 2019 10:45am"
"64 years: 19 February 2019 10:45am"
"65 years: 19 February 2019 10:45am"
"66 years: 19 February 2019 10:45am"
"67 years: 19 February 2019 10:45am"
"68 years: 19 February 2019 10:45am"
"69 years: 19 February 2019 10:45am"
"70 years: 19 February 2019 10:45am"
"71 years: 19 February 2019 10:45am"
"72 years: 19 February 2019 10:45am"
"73 years: 19 February 2019 10:45am"
"74 years: 19 February 2019 10:45am"
"75 years: 19 February 2019 10:45am"
"76 years: 19 February 2019 10:45am"
"77 years: 19 February 2019 10:45am"
"78 years: 19 February 2019 10:45am"
"79 years: 19 February 2019 10:45am"
"80 years: 19 February 2019 10:45am"
"81 years: 19 February 2019 10:45am"
"82 years: 19 February 2019 10:45am"
"83 years: 19 February 2019 10:45am"
"84 years: 19 February 2019 10:45am"
"85 years: 19 February 2019 10:45am"
"86 years: 19 February 2019 10:45am"
"87 years: 19 February 2019 10:45am"
"88 years: 19 February 2019 10:45am"
"89 years: 19 February 2019 10:45am"
"90 years: 19 February 2019 10:45am"
"91 years: 19 February 2019 10:45am"
"92 years: 19 February 2019 10:45am"
"93 years: 19 February 2019 10:45am"
"94 years: 19 February 2019 10:45am"
"95 years: 19 February 2019 10:45am"
"96 years: 19 February 2019 10:45am"
"97 years: 19 February 2019 10:45am"
"98 years: 19 February 2019 10:45am"
"99 years: 19 February 2019 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
