"Estimated Resident Population by Age and Sex (1991+) (Annual-Dec)","","","","","",""
"","","Mean year ended","","","",""
" ","44 Years",33420,34380,34080,33340,32320
" ","45 Years",33260,33560,34570,34320,33560
" ","46 Years",32650,33320,33690,34710,34460
" ","47 Years",32220,32660,33410,33790,34780
" ","48 Years",31760,32250,32750,33500,33840
" ","49 Years",32050,31740,32290,32810,33540
" ","50 Years",33000,32040,31770,32300,32800
" ","51 Years",33760,33000,32090,31800,32310
" ","52 Years",33330,33740,32980,32070,31800
" ","53 Years",32690,33290,33760,32990,32050
" ","54 Years",31330,32670,33300,33760,32970
" ","55 Years",30440,31320,32650,33270,33740
" ","56 Years",29330,30470,31360,32660,33250
" ","57 Years",28820,29360,30500,31360,32630
" ","58 Years",28040,28860,29410,30530,31330
" ","59 Years",27110,28060,28940,29470,30480
" ","60 Years",26370,27180,28110,28980,29460
" ","61 Years",25660,26390,27280,28110,29000
" ","62 Years",24940,25640,26420,27280,28120
" ","63 Years",24510,24960,25650,26430,27250
" ","64 Years",24350,24440,24960,25640,26390
" ","65 Years",23800,24290,24410,24930,25570
" ","66 Years",23940,23710,24200,24350,24860
" ","67 Years",23550,23800,23600,24090,24200
" ","68 Years",20430,23360,23630,23450,23920
" ","69 Years",18930,20260,23160,23440,23230
" ","70 Years",17520,18770,20090,22970,23220
" ","71 Years",16170,17340,18570,19860,22710
" ","72 Years",17100,15980,17130,18350,19610
" ","73 Years",16670,16860,15760,16860,18070
" ","74 Years",15260,16410,16590,15490,16570
" ","75 Years",13940,15000,16110,16270,15190
" ","76 Years",13010,13670,14720,15780,15940
" ","77 Years",12190,12720,13350,14390,15400
" ","78 Years",11230,11860,12370,13010,14010
" ","79 Years",10390,10890,11500,12000,12630
" ","80 Years",10030,10040,10520,11130,11590
" ","81 Years",9670,9620,9660,10120,10690
" ","82 Years",9140,9220,9180,9230,9670
" ","83 Years",9020,8650,8770,8720,8780
" ","84 Years",8340,8480,8170,8250,8250
" ","85 Years",7560,7780,7950,7650,7730
" ","86 Years",6780,6970,7200,7350,7060
" ","87 Years",6230,6210,6390,6610,6760
" ","88 Years",5510,5620,5590,5750,5960
" ","89 Years",4880,4920,5020,4950,5130
" ","90 Years and over",18150,18830,19430,20060,20480
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
"Population estimates include the latest migration estimates published in the same month."
"Revised national population estimates from September quarter 2013 use interim backcast net migration estimates. They will be revised again by March 2020 to incorporate 2018 Census and 2018 Post-enumeration Survey results."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"DPE058AA"
""
"Last updated:"
"0 Years: 15 August 2019 10:45am"
"1 Years: 15 August 2019 10:45am"
"2 Years: 15 August 2019 10:45am"
"3 Years: 15 August 2019 10:45am"
"4 Years: 15 August 2019 10:45am"
"5 Years: 15 August 2019 10:45am"
"6 Years: 15 August 2019 10:45am"
"7 Years: 15 August 2019 10:45am"
"8 Years: 15 August 2019 10:45am"
"9 Years: 15 August 2019 10:45am"
"10 Years: 15 August 2019 10:45am"
"11 Years: 15 August 2019 10:45am"
"12 Years: 15 August 2019 10:45am"
"13 Years: 15 August 2019 10:45am"
"14 Years: 15 August 2019 10:45am"
"15 Years: 15 August 2019 10:45am"
"16 Years: 15 August 2019 10:45am"
"17 Years: 15 August 2019 10:45am"
"18 Years: 15 August 2019 10:45am"
"19 Years: 15 August 2019 10:45am"
"20 Years: 15 August 2019 10:45am"
"21 Years: 15 August 2019 10:45am"
"22 Years: 15 August 2019 10:45am"
"23 Years: 15 August 2019 10:45am"
"24 Years: 15 August 2019 10:45am"
"25 Years: 15 August 2019 10:45am"
"26 Years: 15 August 2019 10:45am"
"27 Years: 15 August 2019 10:45am"
"28 Years: 15 August 2019 10:45am"
"29 Years: 15 August 2019 10:45am"
"30 Years: 15 August 2019 10:45am"
"31 Years: 15 August 2019 10:45am"
"32 Years: 15 August 2019 10:45am"
"33 Years: 15 August 2019 10:45am"
"34 Years: 15 August 2019 10:45am"
"35 Years: 15 August 2019 10:45am"
"36 Years: 15 August 2019 10:45am"
"37 Years: 15 August 2019 10:45am"
"38 Years: 15 August 2019 10:45am"
"39 Years: 15 August 2019 10:45am"
"40 Years: 15 August 2019 10:45am"
"41 Years: 15 August 2019 10:45am"
"42 Years: 15 August 2019 10:45am"
"43 Years: 15 August 2019 10:45am"
"44 Years: 15 August 2019 10:45am"
"45 Years: 15 August 2019 10:45am"
"46 Years: 15 August 2019 10:45am"
"47 Years: 15 August 2019 10:45am"
"48 Years: 15 August 2019 10:45am"
"49 Years: 15 August 2019 10:45am"
"50 Years: 15 August 2019 10:45am"
"51 Years: 15 August 2019 10:45am"
"52 Years: 15 August 2019 10:45am"
"53 Years: 15 August 2019 10:45am"
"54 Years: 15 August 2019 10:45am"
"55 Years: 15 August 2019 10:45am"
"56 Years: 15 August 2019 10:45am"
"57 Years: 15 August 2019 10:45am"
"58 Years: 15 August 2019 10:45am"
"59 Years: 15 August 2019 10:45am"
"60 Years: 15 August 2019 10:45am"
"61 Years: 15 August 2019 10:45am"
"62 Years: 15 August 2019 10:45am"
"63 Years: 15 August 2019 10:45am"
"64 Years: 15 August 2019 10:45am"
"65 Years: 15 August 2019 10:45am"
"66 Years: 15 August 2019 10:45am"
"67 Years: 15 August 2019 10:45am"
"68 Years: 15 August 2019 10:45am"
"69 Years: 15 August 2019 10:45am"
"70 Years: 15 August 2019 10:45am"
"71 Years: 15 August 2019 10:45am"
"72 Years: 15 August 2019 10:45am"
"73 Years: 15 August 2019 10:45am"
"74 Years: 15 August 2019 10:45am"
"75 Years: 15 August 2019 10:45am"
"76 Years: 15 August 2019 10:45am"
"77 Years: 15 August 2019 10:45am"
"78 Years: 15 August 2019 10:45am"
"79 Years: 15 August 2019 10:45am"
"80 Years: 15 August 2019 10:45am"
"81 Years: 15 August 2019 10:45am"
"82 Years: 15 August 2019 10:45am"
"83 Years: 15 August 2019 10:45am"
"84 Years: 15 August 2019 10:45am"
"85 Years: 15 August 2019 10:45am"
"86 Years: 15 August 2019 10:45am"
"87 Years: 15 August 2019 10:45am"
"88 Years: 15 August 2019 10:45am"
"89 Years: 15 August 2019 10:45am"
"90 Years and over: 15 August 2019 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
